id,agents,agent_id
1,"Stockholm, Sweden",4811
2,"Tokyo, Japan",45692
3,"Raleigh, NC",69
4,"Palermo, Italy",4422
5,"Mexico City, Mexico",63438
6,"Los Angeles, CA",34
7,"Jersey City, NJ",506551
8,"Guadalajara, Mexico",320
9,"Dallas, TX",26
10,"Lima, Peru",66222
11,"Santiago de Chile, Chile",8230
12,"Leipzig, Germany",21
13,"Atlanta, GA",5
14,"Boston, MA",68
15,"Auckland, New Zealand",1487
16,"Houston, TX",7056
17,"Wenzhou, China (China Telecom)",29777
18,"Hong Kong (Azure eastasia)",60420
19,"Jakarta, Indonesia (GCP asia-southeast2)",315176
20,"San Diego, CA",145
21,"Bucharest, Romania",5616
22,"Maidenhead, England",7491
23,"San Francisco, CA",14410
24,"Wan Chai, Hong Kong",33266
25,"Winnipeg, Canada",39308
